type,title,year,min_players,max_players,min_time,max_time,avg_time,min_age,com_age,bay_rating,avg_rating,num_ratings,complexity,comp_votes,comments,views,fans,owners,traders,wanters,wishers,mechanics,categories
boardgame,Carcassonne: The City,2004,2,4,30,45,37.5,8,10,6.75372,7.20444,4136,2.2628,449,1280,324347,105,6207,100,375,1207,"['Area Majority / Influence', 'Tile Placement']","['City Building', 'Medieval']"
boardgame,Union Pacific,1999,2,6,90,90,90.0,12,10,6.76975,7.21807,4135,2.5508,463,1248,278329,78,4257,185,238,601,"['Card Drafting', 'Network and Route Building', 'Stock Holding']","['Economic', 'Trains']"
boardgameexpansion,Scythe: The Wind Gambit,2017,1,7,70,140,105.0,14,12,7.25798,7.95774,4131,3.3488,43,772,251991,238,18307,58,288,1492,"['Area Majority / Influence', 'Point to Point Movement']","['Economic', 'Expansion for Base-game', 'Transportation']"
boardgame,Coal Baron,2013,2,4,60,75,67.5,10,10,6.82065,7.30237,4119,2.5611,262,876,256706,139,4943,114,266,1050,"['Action Points', 'Pick-up and Deliver', 'Set Collection', 'Tile Placement', 'Worker Placement']","['Industry / Manufacturing', 'Trains', 'Transportation']"
boardgame,Rune Age,2011,2,4,20,60,40.0,14,12,6.43129,6.80756,4116,2.2898,245,947,419099,294,6095,347,102,651,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Fighting']"
boardgame,"Labyrinth: The War on Terror, 2001 – ?",2010,1,2,180,180,180.0,12,14,7.01469,7.58415,4106,3.625,440,1249,840894,568,8244,246,363,1732,"['Action Points', 'Action/Event', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Hand Management', 'Moving Multiple Units', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Simulation', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Sudden Death Ending', 'Tug of War', 'Variable Player Powers']","['Modern Warfare', 'Political', 'Wargame']"
boardgameexpansion,Kingsburg: To Forge a Realm,2009,2,5,90,90,90.0,13,10,7.25237,7.87923,4105,2.4635,192,1197,211986,123,7818,137,219,691,"['Card Drafting', 'Dice Rolling', 'Modular Board', 'Variable Player Powers', 'Worker Placement']","['City Building', 'Dice', 'Expansion for Base-game', 'Fantasy', 'Medieval']"
boardgame,Rex: Final Days of an Empire,2012,3,6,120,180,150.0,14,14,6.66028,7.10253,4092,3.2731,249,1012,601745,346,7105,312,380,1862,"['Alliances', 'Area Majority / Influence', 'Auction/Bidding', 'Force Commitment', 'Hand Management', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']","['Fighting', 'Negotiation', 'Political', 'Science Fiction']"
boardgame,Santiago de Cuba,2011,2,4,40,75,57.5,10,10,6.54117,6.92501,4067,2.1538,260,719,202976,124,4341,96,166,669,"['Commodity Speculation', 'Dice Rolling', 'Memory', 'Modular Board', 'Pick-up and Deliver', 'Point to Point Movement', 'Worker Placement']",['Economic']
boardgame,Dixit: Journey,2012,3,6,30,30,30.0,8,10,6.89075,7.43151,4066,1.2636,129,708,197176,87,7482,126,136,680,"['Acting', 'Simultaneous Action Selection', 'Storytelling', 'Voting']","['Card Game', 'Humor', 'Party Game']"
boardgame,Zombicide Season 2: Prison Outbreak,2013,1,6,60,60,60.0,13,12,6.82304,7.40494,4060,2.697,132,628,301574,399,9915,259,142,697,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Variable Player Powers']","['Horror', 'Miniatures', 'Zombies']"
boardgame,Epic Card Game,2015,2,4,20,40,30.0,13,8,6.1676,6.51395,4058,2.5174,172,1190,504258,433,9947,735,38,399,"['Card Drafting', 'Hand Management', 'Take That']","['Card Game', 'Fantasy', 'Fighting', 'Prehistoric', 'Zombies']"
boardgame,Mission: Red Planet,2005,3,5,60,60,60.0,10,10,6.55402,6.92172,4046,2.3177,362,1292,377775,111,3590,173,271,1079,"['Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'Hand Management', 'Simultaneous Action Selection', 'Take That', 'Turn Order: Role Order']","['Science Fiction', 'Space Exploration']"
boardgameexpansion,Arkham Horror: The King in Yellow Expansion,2007,1,8,240,240,240.0,12,10,7.00048,7.62152,4045,3.1992,251,896,199510,189,11297,175,123,633,"['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Variable Player Powers']","['Adventure', 'Expansion for Base-game', 'Fighting', 'Horror', 'Novel-based', 'Science Fiction']"
boardgame,Two Rooms and a Boom,2013,6,30,7,20,13.5,8,12,6.59392,7.02422,4035,1.432,125,968,516940,440,6756,144,246,1583,"['Acting', 'Team-Based Game', 'Variable Player Powers', 'Voting']","['Bluffing', 'Card Game', 'Deduction', 'Negotiation', 'Party Game', 'Print & Play', 'Spies/Secret Agents']"
boardgame,Alhambra: Big Box,2009,2,6,60,60,60.0,8,8,6.9742,7.52392,4033,2.345,171,1019,229284,171,8318,182,233,1075,"['Card Drafting', 'Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']",['City Building']
boardgame,Arkadia,2006,2,4,45,60,52.5,10,10,6.5395,6.92201,4030,2.5734,497,1357,267916,60,4254,281,145,662,"['Area Majority / Influence', 'Set Collection', 'Stock Holding', 'Tile Placement']",['City Building']
boardgame,The Lost Expedition,2017,1,5,30,50,40.0,14,10,6.64927,7.10437,4029,1.8305,118,901,355517,241,7511,189,215,1491,"['Cooperative Game', 'Hand Management', 'Solo / Solitaire Game']","['Adventure', 'Card Game', 'Exploration']"
boardgame,Hawaii,2011,2,5,90,90,90.0,13,10,6.72439,7.17162,4025,2.9059,287,910,294542,142,4285,137,218,894,"['Action Points', 'Area Movement', 'Modular Board', 'Worker Placement']",[]
boardgame,Revolution!,2009,3,4,60,60,60.0,13,10,6.37552,6.73119,4016,2.0451,244,1053,285387,175,4861,182,181,848,"['Area Majority / Influence', 'Auction/Bidding', 'Multiple-Lot Auction', 'Simultaneous Action Selection']","['Bluffing', 'Deduction', 'Political']"
boardgameexpansion,Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania,2015,2,5,30,75,52.5,8,10,7.32829,8.01903,3991,2.2793,111,835,191432,114,10142,44,356,1324,"['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection', 'Stock Holding']","['Expansion for Base-game', 'Trains']"
boardgame,Sekigahara: The Unification of Japan,2011,2,2,180,180,180.0,14,12,7.36101,8.06696,3976,2.7593,295,1144,703804,359,6857,100,588,2461,"['Card Play Conflict Resolution', 'Hand Management', 'Point to Point Movement', 'Secret Unit Deployment']","['Civil War', 'Pike and Shot', 'Wargame']"
boardgame,Honshū,2016,2,5,30,30,30.0,8,8,6.59528,7.0055,3974,1.9565,69,753,206626,219,6443,157,133,836,"['Auction/Bidding', 'Hand Management', 'Melding and Splaying']","['Card Game', 'City Building', 'Territory Building']"
boardgame,Hacienda,2005,2,5,60,90,75.0,10,10,6.55128,6.94486,3969,2.6297,478,1217,256394,65,3944,188,144,520,"['Card Drafting', 'Enclosure', 'Network and Route Building', 'Tile Placement']","['Animals', 'Economic', 'Farming', 'Territory Building']"
boardgame,Timeline: Events,2011,2,8,15,15,15.0,8,8,6.42655,6.78223,3963,1.1057,123,614,103344,60,7394,62,111,428,[],"['Card Game', 'Educational', 'Party Game', 'Trivia']"
boardgame,Britannia,1986,3,5,180,300,240.0,12,14,6.71745,7.20534,3962,3.1689,527,1473,485487,211,5643,250,151,689,"['Area Movement', 'Dice Rolling', 'Stat Check Resolution', 'Voting']","['Ancient', 'Civilization', 'Medieval', 'Wargame']"
boardgame,Valley of the Kings,2014,2,4,45,45,45.0,14,12,6.65212,7.06965,3960,2.1908,152,946,266067,128,6468,258,174,1014,"['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Set Collection']","['Ancient', 'Card Game', 'Mythology', 'Religious']"
boardgame,Metropolys,2008,2,4,45,45,45.0,8,8,6.62798,7.02958,3944,2.2113,388,1153,247789,83,3802,127,257,829,"['Area Majority / Influence', 'Auction/Bidding']",['City Building']
boardgame,Villa Paletti,2001,2,4,30,30,30.0,8,6,6.19117,6.46113,3939,1.1562,333,1168,203361,35,5128,209,113,455,"['Dice Rolling', 'Pattern Building', 'Stacking and Balancing']","['Action / Dexterity', ""Children's Game"", 'Party Game']"
boardgame,A Fake Artist Goes to New York,2012,5,10,20,20,20.0,8,8,6.72331,7.17969,3937,1.1622,74,797,245622,121,6610,71,303,1544,"['Line Drawing', 'Role Playing', 'Targeted Clues']","['Bluffing', 'Deduction', 'Party Game']"
boardgame,Chinese Checkers,1893,2,6,30,30,30.0,7,6,5.18502,5.12229,3932,1.5924,341,1096,124612,49,4860,46,5,84,"['Enclosure', 'Grid Movement', 'Trading']",['Abstract Strategy']
boardgameexpansion,Catan: Traders & Barbarians,2007,2,4,60,60,60.0,10,10,6.53373,6.98857,3922,2.5753,219,877,289534,138,12100,233,137,733,"['Auction/Bidding', 'Dice Rolling', 'Hand Management', 'Memory', 'Modular Board', 'Network and Route Building', 'Trading', 'Voting']","['Expansion for Base-game', 'Negotiation', 'Transportation']"
boardgame,A Game of Thrones: The Card Game (Second Edition),2015,2,4,60,120,90.0,14,14,6.94465,7.60636,3906,3.5203,123,749,504678,400,7421,335,104,737,"['Card Drafting', 'Hand Management', 'Simultaneous Action Selection', 'Variable Player Powers']","['Card Game', 'Collectible Components', 'Fantasy', 'Fighting', 'Medieval', 'Negotiation', 'Novel-based']"
boardgame,The Taverns of Tiefenthal,2019,2,4,60,60,60.0,12,10,7.02911,7.6494,3897,2.63,100,606,300538,271,6914,70,496,2541,"['Deck, Bag, and Pool Building', 'Dice Rolling', 'Drafting']",['Dice']
boardgame,Family Business,1982,2,6,30,30,30.0,8,8,5.87887,6.07672,3888,1.3236,377,1277,226932,92,5791,339,40,270,"['Hand Management', 'Player Elimination', 'Take That']","['Card Game', 'Mafia']"
boardgame,Vinci,1999,3,6,90,90,90.0,14,12,6.65011,7.09721,3886,2.7808,438,1318,347907,77,3677,221,151,508,"['Area Majority / Influence', 'Area Movement', 'Increase Value of Unchosen Resources', 'Variable Player Powers']","['Ancient', 'Civilization', 'Territory Building']"
boardgame,The Oracle of Delphi,2016,2,4,70,100,85.0,12,12,6.81428,7.3062,3883,3.0189,106,783,325254,131,5509,167,267,1102,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Pick-up and Deliver', 'Push Your Luck', 'Variable Player Powers']","['Ancient', 'Mythology', 'Nautical']"
boardgame,Nippon,2015,2,4,60,120,90.0,12,14,7.10522,7.71207,3870,3.7743,257,665,358576,188,4344,62,454,1498,"['Area Majority / Influence', 'Variable Phase Order']","['Economic', 'Industry / Manufacturing']"
boardgame,Middle-Earth Quest,2009,2,4,180,180,180.0,13,12,6.82426,7.37475,3867,3.551,363,1125,736435,430,5933,175,324,1437,"['Hand Management', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Novel-based']"
boardgame,Joking Hazard,2016,3,10,30,90,60.0,18,16,6.10722,6.43656,3867,1.0625,48,798,149294,98,9119,169,37,391,"['Hand Management', 'Player Judge', 'Simultaneous Action Selection']","['Card Game', 'Comic Book / Strip', 'Humor', 'Mature / Adult', 'Party Game']"
boardgame,Indonesia,2005,2,5,180,240,210.0,14,16,7.22864,7.8531,3859,3.9851,403,1209,604925,235,4596,60,804,2119,"['Area Majority / Influence', 'Auction/Bidding', 'Pick-up and Deliver', 'Stock Holding']","['Economic', 'Industry / Manufacturing', 'Transportation']"
boardgame,Cold War: CIA vs KGB,2007,2,2,30,60,45.0,12,10,6.30582,6.64234,3857,1.8582,395,1214,277141,136,5939,346,67,417,"['Area Majority / Influence', 'Push Your Luck', 'Secret Unit Deployment', 'Simultaneous Action Selection']","['Bluffing', 'Card Game', 'Modern Warfare', 'Political', 'Spies/Secret Agents']"
boardgame,Linko!,2014,2,5,20,20,20.0,10,8,6.59589,7.01146,3855,1.3981,211,832,167611,83,6004,159,104,525,"['Card Drafting', 'Hand Management', 'Set Collection']",['Card Game']
boardgame,Fauna,2008,2,6,45,60,52.5,8,8,6.60828,7.03973,3851,1.4839,217,762,227379,80,4403,88,179,763,['Betting and Bluffing'],"['Animals', 'Educational', 'Trivia']"
boardgame,Core Worlds,2011,2,5,60,120,90.0,10,12,6.7267,7.19294,3851,2.8933,253,1157,504687,270,4829,220,326,1551,"['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']","['Card Game', 'Civilization', 'Science Fiction', 'Space Exploration']"
boardgame,The Republic of Rome,1990,1,6,300,300,300.0,14,16,6.91722,7.53565,3850,4.329,541,1298,782311,414,5745,165,345,1443,"['Dice Rolling', 'Hand Management', 'Simulation', 'Variable Player Powers', 'Voting']","['Ancient', 'Negotiation', 'Political', 'Wargame']"
boardgame,Legacy: The Testament of Duke de Crecy,2013,1,4,60,60,60.0,8,12,6.7134,7.17794,3847,2.7104,221,877,289023,184,4967,212,200,950,"['Card Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement', 'Worker Placement, Different Worker Types']","['Age of Reason', 'Card Game', 'Economic']"
boardgame,Ticket to Ride: The Card Game,2008,2,4,30,30,30.0,8,8,5.95332,6.15,3841,1.8731,331,1070,182164,58,5981,245,74,342,"['Hand Management', 'Memory', 'Set Collection']","['Card Game', 'Trains']"
boardgame,Wyatt Earp,2001,2,4,30,45,37.5,8,10,6.46596,6.85019,3826,1.8415,366,1348,247037,59,5256,239,150,469,"['Hand Management', 'Set Collection']","['American West', 'Card Game']"
boardgame,The Palaces of Carrara,2012,2,4,60,60,60.0,10,10,6.74078,7.20444,3822,2.6157,216,906,283716,134,4177,97,494,1198,"['Set Collection', 'Tile Placement']","['City Building', 'Economic', 'Renaissance']"
boardgame,Titan,1980,2,6,30,240,135.0,12,12,6.49554,6.96263,3815,3.4571,420,1522,612803,222,5450,265,229,741,"['Dice Rolling', 'Minimap Resolution', 'Player Elimination', 'Roll / Spin and Move', 'Secret Unit Deployment', 'Set Collection']","['Fantasy', 'Fighting']"
boardgame,Cosmic Encounter,1977,2,6,90,90,90.0,12,12,6.4684,6.90979,3814,2.3732,426,1648,432451,109,4217,202,112,442,"['Hand Management', 'Negotiation', 'Variable Player Powers']","['Bluffing', 'Negotiation', 'Science Fiction']"
boardgame,Star Wars: Outer Rim,2019,1,4,120,180,150.0,14,10,7.05351,7.77694,3814,2.4426,122,680,482491,510,7559,66,513,2563,"['Dice Rolling', 'Modular Board', 'Pick-up and Deliver', 'Trading', 'Variable Player Powers']","['Adventure', 'Exploration', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration']"
boardgame,Mykerinos,2006,2,4,30,60,45.0,10,10,6.48722,6.85845,3811,2.5629,517,1288,229462,52,3883,205,131,604,"['Area Majority / Influence', 'Hand Management', 'Modular Board']",['Exploration']
boardgame,Tragedy Looper,2011,2,4,120,120,120.0,13,14,6.73656,7.24725,3810,3.5355,183,946,436156,228,7869,379,219,1330,"['Communication Limits', 'Deduction', 'Grid Movement', 'Hand Management', 'Memory', 'Team-Based Game']","['Bluffing', 'Deduction', 'Murder/Mystery']"
boardgame,Guildhall,2012,2,4,30,45,37.5,10,10,6.54303,6.94336,3800,2.0691,217,911,234916,105,4526,201,151,655,"['Hand Management', 'Set Collection', 'Take That']","['Card Game', 'Medieval']"
boardgameexpansion,Catan: Seafarers – 5-6 Player Extension,1999,5,6,120,120,120.0,10,8,6.51627,6.98804,3799,2.4223,251,861,92147,52,11207,157,79,372,"['Dice Rolling', 'Hand Management', 'Memory', 'Modular Board', 'Network and Route Building', 'Trading']","['Civilization', 'Expansion for Base-game', 'Exploration', 'Nautical', 'Negotiation']"
boardgame,Haggis,2010,2,3,45,45,45.0,13,10,6.57584,6.97782,3797,2.122,205,1224,354881,153,5754,242,156,706,"['Betting and Bluffing', 'Hand Management', 'Ladder Climbing', 'Trick-taking']",['Card Game']
boardgame,To Court the King,2006,2,5,45,45,45.0,10,10,6.1826,6.45668,3793,1.7313,454,1314,220998,59,3367,111,151,478,"['Card Drafting', 'Dice Rolling', 'Pattern Building']","['Dice', 'Medieval']"
boardgame,ZÈRTZ,1999,2,2,30,60,45.0,9,8,6.7755,7.30435,3789,2.7209,326,1245,235107,102,5362,122,204,866,"['Grid Movement', 'Map Reduction', 'Set Collection']",['Abstract Strategy']
boardgame,Bausack,1987,2,8,15,45,30.0,7,6,6.44926,6.83018,3787,1.2989,271,1321,261009,87,4619,179,191,778,"['Auction/Bidding', 'Stacking and Balancing']","['Action / Dexterity', 'Party Game']"
boardgame,Mississippi Queen,1997,3,5,45,45,45.0,10,8,6.10322,6.34807,3764,1.6919,383,1190,203789,52,5495,305,135,389,"['Grid Movement', 'Modular Board', 'Pick-up and Deliver', 'Race']","['Nautical', 'Racing', 'Transportation']"
boardgame,Blokus 3D,2003,2,4,15,20,17.5,7,6,6.43051,6.79965,3762,1.7527,364,1326,194164,49,4783,258,104,433,"['Enclosure', 'Hand Management', 'Tile Placement']","['Abstract Strategy', 'Territory Building']"
boardgameexpansion,Carcassonne: King & Scout,2003,2,5,45,45,45.0,8,8,6.25169,6.59011,3762,1.7977,341,1286,168348,43,8978,125,67,224,"['Area Majority / Influence', 'Tile Placement']","['City Building', 'Expansion for Base-game', 'Medieval', 'Prehistoric', 'Territory Building']"
boardgame,Warrior Knights,2006,2,6,120,240,180.0,12,14,6.45037,6.86211,3762,3.5115,522,1118,556640,185,5507,337,184,967,"['Area Movement', 'Auction/Bidding', 'Campaign / Battle Card Driven', 'Hexagon Grid', 'Simultaneous Action Selection', 'Turn Order: Random', 'Voting']","['Medieval', 'Negotiation', 'Political', 'Wargame']"
boardgame,Nightfall,2011,2,5,45,45,45.0,12,12,6.20892,6.50675,3760,2.6378,254,1057,448908,298,5235,438,69,536,"['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Pattern Building', 'Take That', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Fighting', 'Horror']"
boardgame,Love Letter Premium,2016,2,8,20,30,25.0,8,8,6.89076,7.48589,3749,1.3043,69,657,207222,115,7050,52,126,850,"['Hand Management', 'Player Elimination']","['Card Game', 'Deduction']"
boardgame,Hammer of the Scots,2002,2,2,120,180,150.0,12,12,6.95963,7.5521,3744,2.9808,468,1529,588422,197,4956,151,470,1623,"['Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Secret Unit Deployment', 'Simulation', 'Simultaneous Action Selection']","['Medieval', 'Wargame']"
boardgame,Tumblin-Dice,2004,2,4,45,45,45.0,13,6,6.71113,7.18018,3735,1.0455,220,1022,249434,84,3549,46,477,1279,"['Dice Rolling', 'Flicking']","['Action / Dexterity', 'Dice', 'Party Game']"
boardgame,Black Stories,2004,2,15,20,20,20.0,12,12,5.87157,6.06726,3733,1.2722,180,656,296042,61,6377,182,39,258,['Storytelling'],"['Card Game', 'Deduction', 'Horror', 'Humor', 'Murder/Mystery', 'Party Game']"
boardgame,Tinners' Trail,2008,3,4,60,90,75.0,13,12,6.78136,7.27758,3733,2.8276,377,1022,254409,82,3840,145,190,608,"['Action Points', 'Auction/Bidding', 'Dice Rolling', 'Time Track']","['Economic', 'Industry / Manufacturing']"
boardgame,Babel,2000,2,2,45,60,52.5,12,12,6.33739,6.67872,3717,2.3983,344,1178,267527,57,6023,304,130,583,"['Hand Management', 'Set Collection']","['Ancient', 'Card Game', 'City Building']"
boardgame,Candy Land,1949,2,4,30,30,30.0,3,3,3.78005,3.18709,3716,1.0817,306,1410,294639,33,5289,53,4,59,['Roll / Spin and Move'],"[""Children's Game"", 'Racing']"
boardgame,Nuns on the Run,2010,2,8,45,45,45.0,10,10,6.21952,6.51656,3716,2.0748,214,1023,286595,142,5009,276,144,861,"['Dice Rolling', 'Hidden Movement', 'Paper-and-Pencil', 'Pick-up and Deliver', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']","['Bluffing', 'Deduction', 'Humor', 'Religious']"
boardgame,Conan,2016,2,5,90,90,90.0,14,12,6.96126,7.74978,3713,2.7549,102,956,1267481,1096,7552,198,256,1573,"['Action Points', 'Area Movement', 'Dice Rolling', 'Player Elimination', 'Team-Based Game', 'Variable Phase Order', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based']"
boardgame,Friday the 13th,2005,3,6,30,30,30.0,8,8,6.16559,6.44504,3708,1.1964,387,1281,208868,49,4675,164,74,353,['Hand Management'],['Card Game']
boardgame,The Builders: Middle Ages,2013,2,4,30,30,30.0,10,10,6.21251,6.50771,3708,1.7958,191,699,173387,101,5740,251,55,371,"['Action Points', 'Card Drafting', 'Set Collection']","['City Building', 'Medieval']"
boardgame,Turn the Tide,1997,3,5,30,30,30.0,10,10,6.42759,6.79988,3705,1.5245,368,1039,169518,50,5239,151,111,492,"['Hand Management', 'Simultaneous Action Selection', 'Trick-taking']",['Card Game']
boardgame,Carpe Diem,2018,2,4,45,75,60.0,10,12,6.98223,7.58549,3704,2.5289,121,755,293422,131,5097,54,382,1468,"['Card Drafting', 'Tile Placement']",['Ancient']
boardgame,Tide of Iron,2007,2,4,120,120,120.0,12,12,6.65557,7.21985,3691,3.4626,562,1170,929424,375,5894,385,162,928,"['Action Points', 'Dice Rolling', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Team-Based Game', 'Time Track']","['Miniatures', 'Wargame', 'World War II']"
boardgame,Point Salad,2019,2,6,15,30,22.5,8,8,6.81613,7.35567,3686,1.1538,78,680,137417,126,6412,47,324,1708,"['Card Drafting', 'Set Collection']",['Card Game']
boardgameexpansion,Scythe: The Rise of Fenris,2018,1,5,75,150,112.5,12,14,7.81104,8.80228,3683,3.2449,49,698,377419,444,14903,61,379,2271,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Variable Player Powers']","['Civilization', 'Economic', 'Expansion for Base-game', 'Fighting', 'Territory Building']"
boardgame,Happy Salmon,2016,3,6,2,2,2.0,6,5,6.41603,6.79578,3677,1.1176,68,800,138138,66,6966,80,70,531,['Simultaneous Action Selection'],"['Animals', ""Children's Game"", 'Party Game', 'Real-time']"
boardgame,Struggle of Empires,2004,2,7,180,240,210.0,13,14,6.9163,7.49108,3673,3.5946,523,1414,587452,171,4440,217,237,1061,"['Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Dice Rolling']","['Age of Reason', 'Civilization', 'Fighting', 'Political', 'Territory Building']"
boardgame,Madeira,2013,2,4,60,150,105.0,12,14,7.03212,7.64067,3663,4.2812,409,875,527408,247,5014,119,436,1577,"['Area Majority / Influence', 'Dice Rolling', 'Turn Order: Pass Order', 'Worker Placement', 'Worker Placement with Dice Workers']","['Dice', 'Economic', 'Farming', 'Nautical']"
boardgame,Android,2008,3,5,180,180,180.0,13,16,6.36081,6.73438,3659,3.9674,429,1338,614809,346,5974,302,172,995,"['Action Points', 'Connections', 'Hand Management', 'Network and Route Building', 'Take That', 'Variable Player Powers']","['Murder/Mystery', 'Science Fiction']"
boardgame,Yggdrasil,2011,1,6,90,90,90.0,13,10,6.60951,7.06512,3647,2.5936,219,862,454862,250,3914,98,356,1635,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Set Collection', 'Variable Player Powers']",['Mythology']
boardgame,Ultimate Werewolf: Ultimate Edition,2008,5,68,30,90,60.0,8,8,6.55194,7.03217,3639,1.4968,155,799,501381,213,6273,216,105,754,"['Hidden Roles', 'Player Elimination', 'Role Playing', 'Roles with Asymmetric Information', 'Team-Based Game', 'Traitor Game', 'Voting']","['Bluffing', 'Card Game', 'Deduction', 'Horror', 'Murder/Mystery', 'Negotiation', 'Party Game']"
boardgame,Freedom: The Underground Railroad,2012,1,4,60,120,90.0,13,10,6.99638,7.59763,3636,2.9176,182,1023,391263,250,5796,135,697,2453,"['Cooperative Game', 'Pick-up and Deliver', 'Point to Point Movement', 'Solo / Solitaire Game', 'Variable Player Powers']","['American Civil War', 'Economic', 'Educational', 'Political']"
boardgame,Meeple Circus,2017,2,5,45,45,45.0,8,8,6.64104,7.12859,3636,1.4333,60,582,198373,105,5637,92,304,1374,"['Card Drafting', 'Pattern Building', 'Push Your Luck', 'Stacking and Balancing']","['Action / Dexterity', 'Animals']"
boardgame,Shear Panic,2005,2,4,45,45,45.0,10,10,6.10812,6.37327,3632,2.2211,398,1239,185871,58,5241,305,81,354,"['Dice Rolling', 'Grid Movement', 'Hand Management', 'Pattern Building']",['Animals']
boardgame,Lost Cities: The Board Game,2008,2,4,30,60,45.0,8,6,6.41979,6.80499,3632,1.7297,185,874,286419,99,5354,189,132,707,"['Card Drafting', 'Hand Management', 'Set Collection']","['Adventure', 'Exploration']"
boardgame,Rialto,2013,2,5,45,45,45.0,10,10,6.51718,6.91889,3632,2.5418,251,828,303437,113,4436,191,175,654,"['Area Majority / Influence', 'Auction/Bidding', 'Card Drafting']","['Political', 'Renaissance']"
boardgame,Valeria: Card Kingdoms,2016,1,5,30,45,37.5,13,8,6.86906,7.46127,3625,1.977,87,806,339392,418,5909,107,204,1156,"['Card Drafting', 'Deck, Bag, and Pool Building', 'Dice Rolling']","['Card Game', 'Dice', 'Fantasy']"
boardgame,The Grimm Forest,2018,2,4,45,60,52.5,14,8,6.62952,7.19038,3619,1.8608,79,808,308340,445,7160,117,239,1580,"['Set Collection', 'Simultaneous Action Selection', 'Take That']","['Animals', 'Fantasy']"
boardgame,Hostage Negotiator,2015,1,1,20,20,20.0,13,14,6.5093,6.95409,3617,1.993,143,920,318852,335,7113,263,192,1203,"['Card Drafting', 'Dice Rolling', 'Hand Management', 'Solo / Solitaire Game']","['Card Game', 'Dice']"
boardgame,The Duke,2013,2,2,30,30,30.0,13,12,6.84034,7.41225,3616,2.5124,121,864,342233,278,6009,194,301,1507,"['Grid Movement', 'Tile Placement']","['Abstract Strategy', 'Medieval']"
boardgame,Millennium Blades,2016,2,5,80,120,100.0,12,12,7.06164,7.75401,3616,3.6471,102,833,572804,910,5745,159,348,1534,"['Card Drafting', 'Commodity Speculation', 'Hand Management', 'Set Collection', 'Simulation', 'Trading']","['Card Game', 'Real-time']"
boardgame,Antiquity,2004,2,4,120,180,150.0,14,14,7.22221,7.89823,3609,4.3167,360,1225,715555,261,5301,103,748,2370,"['Grid Coverage', 'Modular Board', 'Tile Placement', 'Trading']","['City Building', 'Civilization', 'Economic', 'Environmental', 'Medieval']"
boardgame,Twister,1966,2,4,10,10,10.0,6,6,4.77372,4.54934,3608,1.0833,228,892,133036,17,6009,88,5,60,['Player Elimination'],"['Action / Dexterity', ""Children's Game"", 'Party Game']"
boardgame,CO₂,2012,1,5,120,120,120.0,12,12,6.6868,7.17524,3607,3.8669,308,923,525922,243,4146,201,348,1538,"['Area Majority / Influence', 'Card Drafting', 'Solo / Solitaire Game', 'Worker Placement']","['Economic', 'Environmental', 'Industry / Manufacturing']"
boardgame,Marvel Dice Masters: Uncanny X-Men,2014,2,2,60,60,60.0,14,10,6.70637,7.22603,3604,2.3717,113,665,228144,253,7861,418,50,230,"['Deck, Bag, and Pool Building', 'Dice Rolling']","['Collectible Components', 'Comic Book / Strip', 'Dice', 'Fighting']"
boardgame,The Pursuit of Happiness,2015,1,4,60,90,75.0,12,8,6.74031,7.24744,3604,2.4419,86,797,300407,194,6105,160,289,1393,"['Drafting', 'Income', 'Simulation', 'Worker Placement']",['Economic']
